id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
730	sail-fossil	鳍之化石	Sail Fossil	Dex completion	7000	Can be revived into an Amaura.	很久以前生活在地上的 古代宝可梦的化石。 好像是头鳍的一部分。
731	fairy-gem	妖精宝石	Fairy Gem	Jewels	200	Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed.	妖精属性的宝石。 携带后，妖精属性的 招式威力会仅增强１次。
732	adventure-rules	探险心得	Adventure Guide	Gameplay	0	Contains basic gameplay information.	一种小型装置。 里面会自动追加和汇总 训练家在旅行时所需要的各种建议。
733	elevator-key	电梯钥匙	Elevator Key	Plot advancement	0	Unlocks the elevator in Lysandre Labs.	可以启动弗拉达利 研究所里电梯的钥匙卡。 上面有着闪焰队的标志。
734	holo-caster	全息影像通讯器	Holo Caster	Gameplay	0	Displays cutscene conversations as the plot advances.	可以随时查看接收到的 全息影像数据的装置。
735	honor-of-kalos	卡洛斯勋章	Honor of Kalos	Plot advancement	0	Does nothing, but signifies becoming Champion.	颁发给为卡洛斯地区 作出杰出贡献的人的宝贵勋章。
736	intriguing-stone	似珍石	Intriguing Stone	Plot advancement	0	Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire.	在有些人看来 可能会觉得它十分贵重。 非常与众不同的石头。
737	lens-case	隐形眼镜盒	Lens Case	Gameplay	0	Allows the player to change their eye color.	可以存放隐形眼镜的， 有点漂亮的盒子。
738	looker-ticket	帅哥券	Looker Ticket	Plot advancement	0	Advances the Looker postgame plot.	喷有闪闪发光的涂料， 帅哥亲手制作的券。
739	mega-ring	超级环	Mega Ring	Gameplay	0	Allows the player’s Pokémon to Mega Evolve.	蕴藏着未知力量的圆环。 能让携带着超级石战斗的 宝可梦进行超级进化。
740	power-plant-pass	发电厂通行证	Power Plant Pass	Plot advancement	0	Permits entry to the Kalos Power Plant.	该通行证可用作进入 １３号道路上的发电厂时 所需的身份证明。
741	profs-letter	博士的信	Prof’s Letter	Plot advancement	0	Traded to the player’s mom for the Town Map and a Potion.	布拉塔诺博士写给妈妈的信。 上面带有微微的香气。
742	roller-skates	轮滑鞋	Roller Skates	Gameplay	0	Allows the player to move quickly and off the grid.	鞋底下装着滑轮。 能在地面上滑行， 或漂亮地表演特技。
743	sprinklotad	莲叶童子喷壶	Sprinklotad	Gameplay	0	Waters Berry plants.	浇水的道具。 能让埋在松软土壤里的 树果快快长大。
744	tmv-pass	ＴＭＶ自由票	TMV Pass	Gameplay	0	Permits access to Kiloude City.	可以随时乘坐连接着 密阿雷市和奇楠市的 超高速列车的车票。
745	tm96	招式学习器９６	TM96	All machines	1000	Teaches a Pokémon TM96.	用尖尖的角刺入对手进行攻击。 攻击必定会命中。
746	tm97	招式学习器９７	TM97	All machines	1000	Teaches a Pokémon TM97.	用自己的身体狂舞挥打， 给予对手伤害。
747	tm98	招式学习器９８	TM98	All machines	1000	Teaches a Pokémon TM98.	化悔恨为力量进行攻击。 如果上一回合招式没有打中， 威力就会翻倍。
748	tm99	招式学习器９９	TM99	All machines	1000	Teaches a Pokémon TM99.	用坚韧的尾巴 猛扫对手进行攻击， 从而降低对手的攻击。
749	tm100	招式学习器１００	TM100	All machines	5000	Teaches a Pokémon TM100.	和对手进行密语， 使其失去集中力， 从而降低对手的特攻。
760	latiasite	拉帝亚斯进化石	Latiasite	Mega Stones	0	Held: Allows Latias to Mega Evolve into Mega Latias.	让拉帝亚斯携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
761	latiosite	拉帝欧斯进化石	Latiosite	Mega Stones	0	Held: Allows Latios to Mega Evolve into Mega Latios.	让拉帝欧斯携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
762	common-stone	常见石	Common Stone	Unused	0	Unknown.	在有些人看来 可能会觉得它十分贵重。 但其实是块普通的石头。
763	makeup-bag	化妆包	Makeup Bag	Gameplay	0	Allows the player to change their lipstick color.	可以存放唇膏的精美小包包。
764	travel-trunk	衣物箱	Travel Trunk	Unused	0	Unobtainable, but allows the player to change clothes anywhere.	能塞入任意时尚物品， 收纳能力极佳的轻箱子。
765	shalour-sable	娑罗沙布蕾	Shalour Sable	Status cures	350	Cures any major status ailment and confusion.	娑罗市特产的沙布蕾。 能治愈１只宝可梦的 所有异常状态。
768	mega-charm	超级坠饰	Mega Charm	Unused	0	Unused Key Stone.	蕴藏着未知力量的坠饰。 能让携带着超级石战斗的 宝可梦进行超级进化。
769	mega-glove	超级手套	Mega Glove	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的手套。 能让携带着超级石战斗的 宝可梦进行超级进化。
770	devon-parts	得文的物品	Devon Parts	Plot advancement	0	Allows Captain Stern to set out on his expedition.	此物品里面放着的是 得文制造的某种零件。
772	pokeblock-kit	宝可方块套装	Pokéblock Kit	Gameplay	0	Creates and stores Pokéblocks.	这是树果混合器和宝可方块盒的套装。 树果混合器可利用树果制作宝可方块， 而做好的宝可方块可用宝可方块盒来保存。
773	key-to-room-1	１号客房的钥匙	Key to Room 1	Plot advancement	0	Unlocks the door to Room 1 in Sea Mauville.	进入海紫堇的房间时 所需的钥匙。
774	key-to-room-2	２号客房的钥匙	Key to Room 2	Plot advancement	0	Unlocks the door to Room 2 in Sea Mauville.	进入海紫堇的房间时 所需的钥匙。
775	key-to-room-4	４号客房的钥匙	Key to Room 4	Plot advancement	0	Unlocks the door to Room 4 in Sea Mauville.	进入海紫堇的房间时 所需的钥匙。
776	key-to-room-6	６号客房的钥匙	Key to Room 6	Plot advancement	0	Unlocks the door to Room 6 in Sea Mauville.	进入海紫堇的房间时 所需的钥匙。
779	devon-scuba-gear	得文潜水装备	Devon Scuba Gear	Plot advancement	0	Worn by the player while underwater.	潜水时装备在身上 用来呼吸氧气的面罩。 得文制造。
780	contest-costume--jacket	演出礼服	Contest Costume	Gameplay	0	Worn during Pokémon Contests.	在华丽现场大赛上演出时穿的 非常帅气的礼服。
782	magma-suit	熔岩装	Magma Suit	Plot advancement	0	Allows the player to ride Groudon in the Cave of Origin.	集熔岩队科学技术于一身的服装。 能承受任何冲击。
783	aqua-suit	海洋装	Aqua Suit	Plot advancement	0	Allows the player to ride Kyogre in the Cave of Origin.	集海洋队科学技术于一身的服装。 能承受任何冲击。
784	pair-of-tickets	双人票	Pair of Tickets	Plot advancement	0	Allows the player and their mother to see the star show in the Mossdeep Space Center.	在绿岭宇宙中心举办的 天体展览的双人票。
785	mega-bracelet	超级手镯	Mega Bracelet	Gameplay	0	Allows the player’s Pokémon to Mega Evolve.	蕴藏着未知力量的手镯。 能让携带着超级石战斗的 宝可梦进行超级进化。
786	mega-pendant	超级吊坠	Mega Pendant	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的吊坠。 能让携带着超级石战斗的 宝可梦进行超级进化。
787	mega-glasses	超级眼镜	Mega Glasses	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的眼镜。 能让携带着超级石战斗的 宝可梦进行超级进化。
788	mega-anchor	超级船锚	Mega Anchor	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的船锚。 能让携带着超级石战斗的 宝可梦进行超级进化。
789	mega-stickpin	超级领针	Mega Stickpin	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的领针。 能让携带着超级石战斗的 宝可梦进行超级进化。
790	mega-tiara	超级头冠	Mega Tiara	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的头冠。 能让携带着超级石战斗的 宝可梦进行超级进化。
791	mega-anklet	超级脚镯	Mega Anklet	Unused	0	Unused NPC Key Stone.	蕴藏着未知力量的脚镯。 能让携带着超级石战斗的 宝可梦进行超级进化。
793	swampertite	巨沼怪进化石	Swampertite	Mega Stones	0	Held: Allows Swampert to Mega Evolve into Mega Swampert.	让巨沼怪携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
794	sceptilite	蜥蜴王进化石	Sceptilite	Mega Stones	0	Held: Allows Sceptile to Mega Evolve into Mega Sceptile.	让蜥蜴王携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
795	sablenite	勾魂眼进化石	Sablenite	Mega Stones	0	Held: Allows Sableye to Mega Evolve into Mega Sableye.	让勾魂眼携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
796	altarianite	七夕青鸟进化石	Altarianite	Mega Stones	0	Held: Allows Altaria to Mega Evolve into Mega Altaria.	让七夕青鸟携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
797	galladite	艾路雷朵进化石	Galladite	Mega Stones	0	Held: Allows Gallade to Mega Evolve into Mega Gallade.	让艾路雷朵携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
798	audinite	差不多娃娃进化石	Audinite	Mega Stones	0	Held: Allows Audino to Mega Evolve into Mega Audino.	让差不多娃娃携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
799	metagrossite	巨金怪进化石	Metagrossite	Mega Stones	0	Held: Allows Metagross to Mega Evolve into Mega Metagross.	让巨金怪携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
800	sharpedonite	巨牙鲨进化石	Sharpedonite	Mega Stones	0	Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.	让巨牙鲨携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
801	slowbronite	呆壳兽进化石	Slowbronite	Mega Stones	0	Held: Allows Slowbro to Mega Evolve into Mega Slowbro.	让呆壳兽携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
802	steelixite	大钢蛇进化石	Steelixite	Mega Stones	0	Held: Allows Steelix to Mega Evolve into Mega Steelix.	让大钢蛇携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
803	pidgeotite	大比鸟进化石	Pidgeotite	Mega Stones	0	Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.	让大比鸟携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
804	glalitite	冰鬼护进化石	Glalitite	Mega Stones	0	Held: Allows Glalie to Mega Evolve into Mega Glalie.	让冰鬼护携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
805	diancite	蒂安希进化石	Diancite	Mega Stones	0	Held: Allows Diancie to Mega Evolve into Mega Diancie.	让蒂安希携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
806	prison-bottle	惩戒之壶	Prison Bottle	Gameplay	0	Transforms Hoopa into its Unbound form for up to three days.	据说在很久以前封印着 某只宝可梦力量的壶。
807	mega-cuff	超级护腕	Mega Cuff	Unused	0	Unused Key Stone.	蕴藏着未知力量的护腕。 能让携带着超级石战斗的 宝可梦进行超级进化。
808	cameruptite	喷火驼进化石	Cameruptite	Mega Stones	0	Held: Allows Camerupt to Mega Evolve into Mega Camerupt.	喷火驼携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
809	lopunnite	长耳兔进化石	Lopunnite	Mega Stones	0	Held: Allows Lopunny to Mega Evolve into Mega Lopunny.	长耳兔携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
810	salamencite	暴飞龙进化石	Salamencite	Mega Stones	0	Held: Allows Salamence to Mega Evolve into Mega Salamence.	暴飞龙携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
811	beedrillite	大针蜂进化石	Beedrillite	Mega Stones	0	Held: Allows Beedrill to Mega Evolve into Mega Beedrill.	大针蜂携带后， 在战斗时就能进行超级进化的 一种神奇超级石。
814	key-stone	钥石	Key Stone	Gameplay	0	Allows the player’s Pokémon to Mega Evolve.	蕴藏着未知力量的石头。 能让携带着超级石战斗的 宝可梦进行超级进化。
815	meteorite-shard	陨石碎片	Meteorite Shard	Plot advancement	0	Causes the Meteorite to transform to its final form, allowing Rayquaza to Mega Evolve.	掉落在石之洞窟里的 陨石碎片之一。 摸上去有一点点暖暖的。
816	eon-flute	无限之笛	Eon Flute	Gameplay	0	Summons Latias or Latios for a ride.	无论身在何处， 都能召唤拉帝欧斯或 拉帝亚斯的笛子。
817	normalium-z--held	一般Ｚ	Normalium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Normal moves.	Ｚ力量的结晶。 会将一般属性的招式 升级成Ｚ招式。
818	firium-z--held	火Ｚ	Firium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Fire moves.	Ｚ力量的结晶。 会将火属性的招式 升级成Ｚ招式。
819	waterium-z--held	水Ｚ	Waterium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Water moves.	Ｚ力量的结晶。 会将水属性的招式 升级成Ｚ招式。
820	electrium-z--held	电Ｚ	Electrium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Electric moves.	Ｚ力量的结晶。 会将电属性的招式 升级成Ｚ招式。
821	grassium-z--held	草Ｚ	Grassium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Grass moves.	Ｚ力量的结晶。 会将草属性的招式 升级成Ｚ招式。
822	icium-z--held	冰Ｚ	Icium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Ice moves.	Ｚ力量的结晶。 会将冰属性的招式 升级成Ｚ招式。
823	fightinium-z--held	格斗Ｚ	Fightinium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Fighting moves.	Ｚ力量的结晶。 会将格斗属性的招式 升级成Ｚ招式。
824	poisonium-z--held	毒Ｚ	Poisonium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Poison moves.	Ｚ力量的结晶。 会将毒属性的招式 升级成Ｚ招式。
825	groundium-z--held	地面Ｚ	Groundium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Ground moves.	Ｚ力量的结晶。 会将地面属性的招式 升级成Ｚ招式。
826	flyinium-z--held	飞行Ｚ	Flyinium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Flying moves.	Ｚ力量的结晶。 会将飞行属性的招式 升级成Ｚ招式。
827	psychium-z--held	超能力Ｚ	Psychium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Psychic moves.	Ｚ力量的结晶。 会将超能力属性的招式 升级成Ｚ招式。
828	buginium-z--held	虫Ｚ	Buginium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Bug moves.	Ｚ力量的结晶。 会将虫属性的招式 升级成Ｚ招式。
829	rockium-z--held	岩石Ｚ	Rockium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Rock moves.	Ｚ力量的结晶。 会将岩石属性的招式 升级成Ｚ招式。
830	ghostium-z--held	幽灵Ｚ	Ghostium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Ghost moves.	Ｚ力量的结晶。 会将幽灵属性的招式 升级成Ｚ招式。
831	dragonium-z--held	龙Ｚ	Dragonium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Dragon moves.	Ｚ力量的结晶。 会将龙属性的招式 升级成Ｚ招式。
832	darkinium-z--held	恶Ｚ	Darkinium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Dark moves.	Ｚ力量的结晶。 会将恶属性的招式 升级成Ｚ招式。
833	steelium-z--held	钢Ｚ	Steelium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Steel moves.	Ｚ力量的结晶。 会将钢属性的招式 升级成Ｚ招式。
834	fairium-z--held	妖精Ｚ	Fairium Z	Z-Crystals	0	Held: Allows a Pokémon to use the Z-move equivalents of its Fairy moves.	Ｚ力量的结晶。 会将妖精属性的招式 升级成Ｚ招式。
835	pikanium-z--held	皮卡丘Ｚ	Pikanium Z	Z-Crystals	0	Held: Allows Pikachu to upgrade Volt Tackle into Catastropika.	Ｚ力量的结晶。 会将皮卡丘的伏特攻击 升级成Ｚ招式。
836	bottle-cap	银色王冠	Bottle Cap	Loot	5000	Trade to Mr. Hyper to maximize one of a Pokémon’s genes.	银色的美丽王冠。 有些人收到它会很高兴。
837	gold-bottle-cap	金色王冠	Gold Bottle Cap	Loot	10000	Trade to Mr. Hyper to maximize all of a Pokémon’s genes.	金色的美丽王冠。 比银色王冠珍贵。 有些人收到它会很高兴。
838	z-ring	Ｚ手环	Z-Ring	Gameplay	0	Allows the player’s Pokémon to use Z-moves.	通过使用训练家的 气力和体力来让宝可梦 释放出Ｚ力量的神奇手环。
839	decidium-z--held	狙射树枭Ｚ	Decidium Z	Z-Crystals	0	Held: Allows Decidueye to upgrade Spirit Shackle into Sinister Arrow Raid.	Ｚ力量的结晶。 会将狙射树枭的缝影 升级成Ｚ招式。
840	incinium-z--held	炽焰咆哮虎Ｚ	Incinium Z	Z-Crystals	0	Held: Allows Incineroar to upgrade Darkest Lariat into Malicious Moonsault.	Ｚ力量的结晶。 会将炽焰咆哮虎的ＤＤ金勾臂 升级成Ｚ招式。
841	primarium-z--held	西狮海壬Ｚ	Primarium Z	Z-Crystals	0	Held: Allows Primarina to upgrade Sparkling Aria into Oceanic Operetta.	Ｚ力量的结晶。 会将西狮海壬的泡影的咏叹调 升级成Ｚ招式。
842	tapunium-z--held	卡璞Ｚ	Tapunium Z	Z-Crystals	0	Held: Allows the Tapus to upgrade Nature’s Madness into Guardian of Alola.	Ｚ力量的结晶。 会将卡璞们的自然之怒 升级成Ｚ招式。
843	marshadium-z--held	玛夏多Ｚ	Marshadium Z	Z-Crystals	0	Held: Allows Marshadow to upgrade Spectral Thief into Soul-Stealing 7 Star Strike.	Ｚ力量的结晶。 会将玛夏多的暗影偷盗 升级成Ｚ招式。
844	aloraichium-z--held	阿罗雷Ｚ	Aloraichium Z	Z-Crystals	0	Held: Allows Alola Raichu to upgrade Thunderbolt into Stoked Sparksurfer.	Ｚ力量的结晶。 会将阿罗拉地区雷丘的 十万伏特升级成Ｚ招式。
845	snorlium-z--held	卡比兽Ｚ	Snorlium Z	Z-Crystals	0	Held: Allows Snorlax to upgrade Giga Impact into Pulverizing Pancake.	Ｚ力量的结晶。 会将卡比兽的终极冲击 升级成Ｚ招式。
846	eevium-z--held	伊布Ｚ	Eevium Z	Z-Crystals	0	Held: Allows Eevee to upgrade Last Resort into Extreme Evoboost.	Ｚ力量的结晶。 会将伊布的珍藏 升级成Ｚ招式。
847	mewnium-z--held	梦幻Ｚ	Mewnium Z	Z-Crystals	0	Held: Allows Mew to upgrade Psychic into Genesis Supernova.	Ｚ力量的结晶。 会将梦幻的精神强念 升级成Ｚ招式。
877	pikashunium-z--held	智皮卡Ｚ	Pikashunium Z	Z-Crystals	0	Held: Allows cap-wearing Pikachu to upgrade Thunderbolt into 10,000,000 Volt Thunderbolt.	Ｚ力量的结晶。 会将戴着帽子的皮卡丘的 十万伏特升级成Ｚ招式。
878	forage-bag	材料袋	Forage Bag	Gameplay	0	Holds ingredients during Mallow’s trial.	将丛林里收集到的材料 装在一起的袋子。 在玛奥的考验中使用。
879	fishing-rod	钓竿	Fishing Rod	Gameplay	0	Allows the player to fish for Pokémon.	水莲队长制作的钓竿。 如果向着岩石阴影那边使用， 就能钓到宝可梦。
880	professors-mask	博士的面罩	Professor’s Mask	Plot advancement	0	Lost by Professor Kukui.	皇家蒙面人的面罩。 好像是职业摔角手 自己用缝纫机缝制的。
881	festival-ticket	圆庆票	Festival Ticket	Gameplay	10	Hosts a mission in Festival Plaza.	可以在圆庆广场 开启游乐项目。
882	sparkling-stone	光辉石	Sparkling Stone	Plot advancement	0	Required to obtain a Z-Ring.	从被认为是阿罗拉守护神的 宝可梦那里得到的石头。 据说其光辉下有着某种秘密。
883	adrenaline-orb	胆怯球	Adrenaline Orb	Held items	4000	Makes wild Pokémon more likely to summon allies. Held: increases the holder’s Speed by one stage when affected by Intimidate.	让宝可梦携带后， 在受到威吓时速度会提高。
884	zygarde-cube	基格尔德多面体	Zygarde Cube	Gameplay	0	Contains collected Zygarde cells/cores. Can teach Zygarde moves.	聚集了宝可梦基格尔德的 核心和细胞的道具。 可以改变基格尔德的样子。
885	ice-stone	冰之石	Ice Stone	Evolution	3000	Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.	能让某些特定宝可梦 进化的神奇石头。 有着雪花般的花纹。
886	ride-pager	骑行装置	Ride Pager	Unused	0	Allows the player to summon a Ride Pokémon.	通过输入编号，瞬间召唤 与编号对应的坐骑宝可梦的道具。
887	beast-ball	究极球	Beast Ball	Special balls	0	Tries to catch a wild Pokémon. Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.	有些与众不同的精灵球。 很难捕捉一般的宝可梦。
888	big-malasada	大马拉萨达	Big Malasada	Status cures	350	Cures major status ailments and confusion.	阿罗拉特产的油炸面包。 能治愈１只宝可梦的 所有异常状态。
889	red-nectar	朱红色花蜜	Red Nectar	Species-specific	300	Changes Oricorio to Baile Style.	在乌拉乌拉花园里获得的花蜜。 可以改变特定宝可梦的样子。
890	yellow-nectar	金黄色花蜜	Yellow Nectar	Species-specific	300	Changes Oricorio to Pom-Pom Style.	在美乐美乐花园里获得的花蜜。 可以改变特定宝可梦的样子。
891	pink-nectar	桃粉色花蜜	Pink Nectar	Species-specific	300	Changes Oricorio to Pa’u Style.	在皇家大道的花园里获得的花蜜。 可以改变特定宝可梦的样子。
892	purple-nectar	兰紫色花蜜	Purple Nectar	Species-specific	300	Changes Oricorio to Sensu Style.	在波尼花园里获得的花蜜。 可以改变特定宝可梦的样子。
893	sun-flute	太阳之笛	Sun Flute	Plot advancement	0	Evolves Nebby into Solgaleo when used at the Altar of the Sunne.	为了对太阳的 传说的宝可梦表达感激之情， 据说会用它来献上美乐。
894	moon-flute	月亮之笛	Moon Flute	Plot advancement	0	Evolves Nebby into Lunala when used at the Altar of the Moone.	为了对月亮的 传说的宝可梦表达感激之情， 据说会用它来献上美乐。
895	enigmatic-card	奇异卡片	Enigmatic Card	Plot advancement	0	Unlocks Looker’s motel room on Route 8.	上面写有“在阿卡拉岛８号道路的 汽车旅馆客房里等”的谜之卡片。
896	terrain-extender	大地膜	Terrain Extender	Held items	4000	Held: Extends the holder’s Terrain effects to 8 turns.	当携带它的宝可梦 利用招式或特性展开场地时， 场地的持续时间会比平时更长。
897	protective-pads	部位护具	Protective Pads	Held items	4000	Held: Prevents side effects of contact moves used on the holder.	不会受到触碰攻击对手时 本应受到的效果。
898	electric-seed	电气种子	Electric Seed	Held items	4000	Held: Consumed on Electric Terrain and raises the holder’s Defense by one stage.	让宝可梦携带后， 在电气场地上使用， 防御就会提高。
899	psychic-seed	精神种子	Psychic Seed	Held items	4000	Held: Consumed on Psychic Terrain and raises the holder’s Special Defense by one stage.	让宝可梦携带后， 在精神场地上使用， 特防就会提高。
900	misty-seed	薄雾种子	Misty Seed	Held items	4000	Held: Consumed on Misty Terrain and raises the holder’s Special Defense by one stage.	让宝可梦携带后， 在薄雾场地上使用， 特防就会提高。
901	grassy-seed	青草种子	Grassy Seed	Held items	4000	Held: Consumed on Grassy Terrain and raises the holder’s Defense by one stage.	让宝可梦携带后， 在青草场地上使用， 防御就会提高。
902	fighting-memory	战斗存储碟	Fighting Memory	Memories	1000	Held: Changes Silvally to its Fighting form. Changes Multi-Attack’s type to Fighting.	装有格斗属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
903	flying-memory	飞翔存储碟	Flying Memory	Memories	1000	Held: Changes Silvally to its Flying form. Changes Multi-Attack’s type to Flying.	装有飞行属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
904	poison-memory	毒存储碟	Poison Memory	Memories	1000	Held: Changes Silvally to its Poison form. Changes Multi-Attack’s type to Poison.	装有毒属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
905	ground-memory	大地存储碟	Ground Memory	Memories	1000	Held: Changes Silvally to its Ground form. Changes Multi-Attack’s type to Ground.	装有地面属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
906	rock-memory	岩石存储碟	Rock Memory	Memories	1000	Held: Changes Silvally to its Rock form. Changes Multi-Attack’s type to Rock.	装有岩石属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
907	bug-memory	虫子存储碟	Bug Memory	Memories	1000	Held: Changes Silvally to its Bug form. Changes Multi-Attack’s type to Bug.	装有虫属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
908	ghost-memory	幽灵存储碟	Ghost Memory	Memories	1000	Held: Changes Silvally to its Ghost form. Changes Multi-Attack’s type to Ghost.	装有幽灵属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
909	steel-memory	钢铁存储碟	Steel Memory	Memories	1000	Held: Changes Silvally to its Steel form. Changes Multi-Attack’s type to Steel.	装有钢属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
910	fire-memory	火焰存储碟	Fire Memory	Memories	1000	Held: Changes Silvally to its Fire form. Changes Multi-Attack’s type to Fire.	装有火属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
911	water-memory	清水存储碟	Water Memory	Memories	1000	Held: Changes Silvally to its Water form. Changes Multi-Attack’s type to Water.	装有水属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
912	grass-memory	青草存储碟	Grass Memory	Memories	1000	Held: Changes Silvally to its Grass form. Changes Multi-Attack’s type to Grass.	装有草属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
913	electric-memory	电子存储碟	Electric Memory	Memories	1000	Held: Changes Silvally to its Electric form. Changes Multi-Attack’s type to Electric.	装有电属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
914	psychic-memory	精神存储碟	Psychic Memory	Memories	1000	Held: Changes Silvally to its Psychic form. Changes Multi-Attack’s type to Psychic.	装有超能力属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
915	ice-memory	冰雪存储碟	Ice Memory	Memories	1000	Held: Changes Silvally to its Ice form. Changes Multi-Attack’s type to Ice.	装有冰属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
916	dragon-memory	龙存储碟	Dragon Memory	Memories	1000	Held: Changes Silvally to its Dragon form. Changes Multi-Attack’s type to Dragon.	装有龙属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
917	dark-memory	黑暗存储碟	Dark Memory	Memories	1000	Held: Changes Silvally to its Dark form. Changes Multi-Attack’s type to Dark.	装有恶属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
918	fairy-memory	妖精存储碟	Fairy Memory	Memories	1000	Held: Changes Silvally to its Fairy form. Changes Multi-Attack’s type to Fairy.	装有妖精属性数据的存储碟。 特定宝可梦携带后， 属性就会发生变化。
919	bike--green	自行车	Bike	Unused	0	XXX new effect for bike--green	能比跑步鞋跑得还快的 折叠式自行车。
920	storage-key--galactic-warehouse	仓库钥匙	Storage Key	Unused	0	XXX new effect for storage-key--galactic-warehouse	用于进入银河队在帷幕市市郊的 可疑仓库的钥匙。
921	basement-key--goldenrod	地下钥匙	Basement Key	Unused	0	XXX new effect for basement-key--goldenrod	用来打开满金地道 大门的钥匙。
922	xtransceiver--red	即时通讯器	Xtransceiver	Unused	0	XXX new effect for xtranceiver--red	带摄像头功能， 最多能让４人进行通话的 最新型对讲机。
923	xtransceiver--yellow	即时通讯器	Xtransceiver	Unused	0	XXX new effect for xtranceiver--yellow	带摄像头功能， 最多能让４人进行通话的 最新型对讲机。
924	dna-splicers--merge	基因之楔	DNA Splicers	Unused	0	XXX new effect for dna-splicers--merge	据说是能让原本为一体的 酋雷姆和某宝可梦 合体的一对楔子。
925	dna-splicers--split	基因之楔	DNA Splicers	Unused	0	XXX new effect for dna-splicers--split	能让合体后的 酋雷姆和某宝可梦 分离成原状的一对楔子。
926	dropped-item--red	遗忘物	Dropped Item	Unused	0	XXX new effect for dropped-item--red	在雷文市的游乐园里 捡到的即时通讯器。 失主好像是个男孩子。
